,Part,Sentence,token_count,annotation
555,SentiAnno3,"Majestät nach den Gründen gefragt habe,weßhalb wir keine Depntirten zum croatischen Landtag sendenund die Worte hinzufügte: „Das, was Ihr wünscht, wird niegeschehen.""",22,negative
556,SentiAnno3,"Er berief sich auf die historischbegründeten Rechte der freien Stadt Fiume, auf daS lebhafteSehnen derselben, der ungarischen Krone direkt anzugehören, ausdas Resultat der stattgefundenen Abstimmung, welche deutlichdie Meinung der Bevölkerung wiedergab, auf die Unverträglichkeit(ineomx-uibilitä) der croatischen Regierung, welche sich die Gemüther der Fiumaner entfremdete, auf die Gewalt, mit der mangegen die Freiheit der Sprache auftritt, auf die Territorialverletzung, indem man diesen Boden dem Comitate annexiren will,das jetzt den Namen Fiume's angenommen hat.",72,negative
557,SentiAnno3,"— Seitens der Grenzab-geordneten erwiedert diesen Gruß der bekannte GrenzadvocatBerliä.Statthaltereirath Battio stellt den Antrag, es mögen inden Ausschuß zur Vorbereitung deS Gesetzvorschlages Betreff derVertretung der Grenze am kroatisch-slavonischen Landtage undAufhebung des GrenzinstituteS auch einige von den Grenzdeputirten aufgenommen werden.Se.",39,neutral
558,SentiAnno3,"Hätte dasVolk richtige Begriffe von Nationalität :c., so würde man diebenachbarten Slovenen nicht mit Krainec und 8tairec benennenund gegen den Serben anders gefinnt sein.",24,negative
559,SentiAnno3,"Sownt sichdie Lage der Dinge beurtheilen läßt, dürften die Montenegriner allerdings im Nachtheile sein.",14,neutral
560,SentiAnno3,"ObergespanKnknljevic wünscht, man möge sagen „unserer"" Nation, demNamen nach kroatischen und serbischen.",12,neutral
561,SentiAnno3,"Ich habe nicht die Absicht,gegen die kroatische und serbische Nation anzukämpfen, aber ich alsein freier Slavonier hege den Wunsch, daß an der betreffendenStelle auch der Ausdruck „slavonisch"" eingereiht werd5Dr.",29,neutral
562,SentiAnno3,"Cepulic wünscht dem Dr. Miletic, er mögedie croatische und serbische Nation mit demselben Enthusiasmus amungarischen Landtage, wie auf diesem vertreten.Cepulic bemerkte, er sei ein Küstenländer, und er müssefordern, daß der Ausdruck; xriinvrski (küstenländisch!) auch in die Adresse eingereiht werde.",39,neutral
563,SentiAnno3,"Vranicanj bemerkte, der serbische Congreß heißt nurserbisch, aber nicht „croatisch-serbisch"" — Bei der hierauf erfolgtenAbstimmung wurde die Redaction des Adreßcomite mit Stimmenmehrheit angenommen.Deutschland.München, 28.",24,neutral
564,SentiAnno3,Gegenwärtig erwartet man unganscherfeits dieAntwort und Erklärung der kroatischen Deputation auf dievon der ungarischen Deputation jüngst festgestellten Punkte.Von dieser Erklärung der croatischen Deputation wird auchdie Eröffnung der meritorische» Verhandlungen und die Axtihrer Fortsetzung abhängen.,34,neutral
565,SentiAnno3,"Dasselbe stellt den weiland Feldzeugmeister und BanuS von Croatien, Grafen Jelacic in voller Uniform mit der „Kabanicza"", die Brust mit zahlreichen Orden geschmückt, hoch zu Rosse fitzend, dar.",28,neutral
566,SentiAnno3,"Regierung, daß vonden öffentlichen Blättern, die in Croatien herausgegeben werden, selbst solche», von denen man voraussetzt, daß sie nichtohne Berührung mit der Regierung sind, bezüglich deS Ausgleiches mit Ungarn, der Gestaltung der Verfassungsverhältnisse des Gesammtreiches und inSbesonders der künftigen staatsrechtlichen Beziehungen CroatienS zum Gefammtreiche und zumKönigreiche Ungarn eine Sprache führen, welche sür alle, dienut den Ansichten der Regierung und M d« Haliung, «eichesie nach den bestimmt ausgesprochenen Willen Sr. k. k. apost.Majestät in dieser Frage inne zu halten verpflichtet ist, zueiner vollen Mißdeutung derselben führen und die Vcrmnthung begründen müssen, als bewege die Regierung sich dies-falls auf einem Parteistandpunkte.",99,negative
567,SentiAnno3,"Wie sollman die kroatische Regierung sowohl in den autonomen, alsauch in den gemeinsamen Angelegenheiten organisiren?",15,neutral
568,SentiAnno3,"Der Finanz-Ausschuß ist ununterbrochen thätig.In der kroatisch«« Angelegenheit fand gestembeim Ministerpräsidenten Szlavy eine Besprechung, statt, zuwelcher nnr die Mitglieder der kroatischen Deputation beigezogen wurden.",24,neutral
569,SentiAnno3,"Die Kroaten sind ron der besten Hoffnung erfüll', daß der Ausgleich gelingen w?rd?.",13,positive
570,SentiAnno3,"Unsere Stadt, di« größteKroatiens nach Agram, hat soeben eia lautes Zeugniß abgelegt, welche Wirkungen di« bisherige Regierungswirthschaftunter dem kroatischen Volke geübt hat.",22,neutral
571,SentiAnno3,— Der kroatischeLandtag wird demnächst für den 10. oder 12.,10,neutral
572,SentiAnno3,"D es war es auch, was seinerzeit Lonyay zu einem Ausgleiche mit den Kroatenbewog, weil Letzteren in dieser Beziehung in Zukunft dieHauptrolle zugestanden werden muß.",25,neutral
573,SentiAnno3,"Nachdem BanuS Graf LadislausPejacsevic erklärt hatte, daß er namens der kroatischenLandesregierung diesen Vorschlag annehme, genehmigte dieConferenz einhellig die Vereinbarung und betraute dieReferenten Max Falk und Miskaiovic mit der Abfassung des betreffenden Gesetzentwurfes.",32,neutral
574,SentiAnno3,"Die Kroaten ersuchten,ihr Elaborat als Grundlage der Verhandlung zu accepttren;was angenommen wurde.",12,neutral
575,SentiAnno3,"Die kroatische Regnicolar-Deputation, welche gegenwärtig in Budapest über eineVerständigung mit Ungarn und Fiume bezüglich deszuzugestehenden Maßes an Selbstständigkeit an die letztereStadt und ihres staatsrechtlichen BerhältniffeS beräth,wurde bekanntlich mit gebundener Marschroute zu diesenVerhandlungen delegirt.",33,neutral
576,SentiAnno3,"Es wurde nämlich im kroatischenLandtage beantragt und dieser Antrag auch angenommen,daß die Verhandlungen auf Grundlage der Anerkennung der staatlichen Zusammengehörigkeit Fiumesmit Kroatien geführt werden müffen.",25,neutral
577,SentiAnno3,"Zwischen den Verhandlungen vom Jahre1868 und den heutigen liegt allerdings ein langer Zeitraum, der jedoch, nachdem Kroatiens Ansprüche aufhistorisch-staatsrechtlicher Grundlage fußen und überdiesauch die geographischen und ethnograpyischen Verhältnisu Grasten Kceat sprechen, eine Aenderung desStandpunctes ) r Kroaten in dieser Frage selbstredendnicht herbeiführen konnt e. Wem, wie dies in derPublicistik prognosticitt w urde, etwa in Folge des obererwähnten Landtagsbeschlusses — er wurde, so viel mirerinnerlich, b ' ahe mit Stimmeneinhelligkeit gefaßt — bereits das Scheitern der erst begonnenen Verhandlungenvorschwebt, de: cibt zugleich zu, daß jene chauvinistischeAuffassung der Frage, wie sie in dem bekanntenPesty — dieser „Geschichtsschreiber"" wird mir als allerhistorischen Kennt!ifse bar und durch renegatenhaftenexcesfiven nationalen Uebereffer befangen geschildert — einenVertreter gefunden hat, in den ungarischen Kreisen maßgebend ist und auch die von irredentistifchen Velleitätennicht ganz freien Fiumaner beherrscht.",128,mixed
578,SentiAnno3,"Wenn dies der Fallwäre, dann könnten die Verhandlungen schlechterdings zukeinem alle Theile befriedigenden Abschlüsse gelangen.Dieser Ansicht ist man jedoch in Kroatiennicht und in Folge besten ist es immerhin möglich — sowenig es wahrscheinlich scheint — daß eine Verständigungerzielt wird, wodurch auch jene mit dieser Frage engeverbundene und seinerzeit im kroatischen Landtage heftigerörterte Angelegenheit des ungewöhnlichen Zustandekommens des § 66 des Ausgleichsgesetzes, welcher sich aufdie Stadt Fiume bezieht und worauf Ungarn und Fiumesich stützen, endlich und definitiv beigelegt würde.Die Investitionen Ungarns in Fiume, die hie und dahervorgehoben werden, können von den Kroaten als denungarischen Ansprüchen eine Art Berechtigung einräumendnicht anerkannt werden, weil aus denselben Gründen auchdie Erbauung irgend einer Staatsbahn oder sonstige Investitionen zu G u n st e n Kroatiens — was leider nichtzu erwarten ist — Ungarn ebenso einen erhöhten Macht-titel auf Kroatien verschaffen müßten.Ueber die sonstigen Vorkommnisse im Schooße der einzelnen Deputationen wie auch in den beiden bisher abgehaltenen Plenarsitzungen wurden Sie bereits telegraphischinformirt.",156,negative
579,SentiAnno3,"(Gefertigt vonallen Mitgliedern der Nationalpartei und allen Serben, im Ganzenvon 33 Mitgliedern.)II.",12,neutral
580,SentiAnno3,"Der neueBanuS wird sich darauf gefaßt machen müssen, daß manihm in Kroatien keinen besonders freundlichen Empfangbereitet.",16,negative
581,SentiAnno3,"kroatischenNation nicht entgegengejubelt, u'ad doch hatte er sich später— namentlich als die Einverleibung der Grenze bewerkstelligt wurde — hoher Volksgunst zu erfreuen.",22,mixed
584,SentiAnno3,"Nach dem oben cttirten§ 66 soll nämlich über die „besondere Autonomie unddie hierauf bezüglichen legislatorischen und admini-strattven Verhältnisse zwischen dem ungarischen Reichstage und dem kroatisch-slavonischen Landtage wie auchder Stadt Fiume im Wege der Regnicolar-Deputationsverhandlungen im gemeinsamen Einvernehmen einUebereinkommen erzielt werden"".",40,neutral
585,SentiAnno3,"Die Kroaten wollen diese Auffassung nichtgelten lassen, sondern behaupten, Fiume sammt Gebietgehöre nur in und mit Kroatien zur Krone des heil.Stephan; sie berufen sich dabei aber tveit mehr aufgeographische, ethnographische und opportunistischeArgumente als auf historische und gesetzliche Beweisgründe.",38,negative
586,SentiAnno3,"Sie beanspruchen Fiume für sich, weil es ander „ttoatischen Küste"" liegt, weil die Bewohner überwiegend Kroaten sind, und weil der ganze Verkehr dieSeestadt auf das anliegende kroatische Hinterland anweist.",29,neutral
587,SentiAnno3,"Die Kürze der Zeit gestattete dem ungarischenReichstage nicht, auf diese Vorschläge des Näheren einzugehen, und so weiß man denn auch nicht, ob derselbe diese zum Theile sehr weitgehenden Propositionender diesseitigen Regnicolar-Deputaüon angenommenhaben würde.Um so größeren Lärm werden die Kroatenschlagen, wenn sie nach den Pfingstfeiertagen abermalsin der Agramer Landtagsstube zusammentreten.",49,neutral
588,SentiAnno3,"Die Gründe, welche die fruchtbare Gestaltungverhinderten, sind allbewußt; dennoch kann der Landtagmit Befriedigung zurückblicken; er hat zwei Beschlüsse gefaßt, welche in den Annalen der Geschichte Kroatiens einenMarkstein bilden.",28,positive
589,SentiAnno3,"Getreuen erfolgreich begonnene Werk mit, Gottes Hilfe unter verfassungsmäßiger Mitwirkungdes nächsten Landtages zum Nutz und FrommenUnserer geliebten Königreiche Kroatien und Slavonien zum Abschlüsse zu bringen.",25,positive
590,SentiAnno3,"Insoweit man die jetzigeLage des Landes überschauen kann, bemerkt man keinebesondere Nöthigung zu außerordentlichen Maßnahmen;die Regierung wird also triftige Beweise für ihr Verlangen der Legislative unterbreiten müssen.Was uns ganz besonders auffällt, das ist derMangel eines jeden Hinweises auf Kroatien unddessen Zustände, die ja in dem gegenwärftgen Stadiumauch das eigentliche Ungarn gar sehr tangiren.",53,neutral
591,SentiAnno3,"Von der Ausübung dieser Thätigkeit imEinklänge mit dem Gesetze, von der richtigen Beurtheilung der reellen Verhältnisse, der Exigwnzes derstaatlichen Gemeinschaft wird es daher vorZUgMeiseabhängen, daß das obige Grundgesetz, beziehungsweise der durch die Dauer so vieler Jahrhundertegeweihte Bund mit dem Königreiche Ungarn UnserenKönigreichen Kroatien und Slavonien immer größereVortheile bringe, Vortheile, welche vorübergehendeMißverständnisse — Wir sind dessen gewiß — durchfreundliches Entgegenkommen von dereinen und der anderen Seite jederzeit behoben werden können.",69,positive
592,SentiAnno3,"Gestützt auf das obige Grundgesetz als feste Unterlage, können sich demnach Ew:Getreuen mit gutem Gewissen der fruchtbringendenArbeit bezüglich der gedeihlichen Entwicklung deröffentlichen Zustände des Landes, bezüglich der Förderung des geistigen Fortschrittes und des materiellMWohlstandes Unserer geliebten Königreiche Kroatien-und Slavonien widmen.In dieser Richtung erfordert die Vereinigungdes ehemaligen Grenzgebietes mit Kroatien undSlavonien und hiemit mit den Ländern der ungarischen Krone, daß die factisch vereinigten Landestheile durch gesetzliche Verfügungen in einen organischen Körper verschmolzen werden, und daß dieeinheitliche Wahlordnung für das gesammte Landins Leben trete.Die Aufgabe Unserer Landesregierung wird esdaher sein, Ew.",89,positive
593,SentiAnno3,"Es sind fchon einige Mittel vorhanden,und es sollen noch mehr in Kroatien und Slavonien aufgebrachtwerden.",15,neutral
594,SentiAnno3,"Auch Kroatienmüsse etwas Schönes und Großartiges spenden, und da würdesich der Hochaltar am besten empfehlen.",15,neutral
595,SentiAnno3,"Wir halten dafür, daß man auf derHut sein müsse.Gestern ist in Agram der kroati/ch-slavonische Landtagwieder zusammengetreten; es ist zum fünften Male in diesemJahre.",23,neutral
596,SentiAnno3,Diese Deputationsoll das Verhältniß zwischen Ungarn und Kroatienauf Grund des bestehenden AusgleiqsgesetzeS von 1868 und1873 einer neuen Prüfung unterziehen.,19,neutral
597,SentiAnno3,"Ob dieseneuen Regnicolar-Deputationen in der strittigen Frage derGesetzesinterpretation zu einer Einigung gelangen werden,erscheint angesichts der letzten Erfahrungen mit den Regni-colar-Deputationen in der Fiumaner Frage wenig glaublich.Die kroatische Nationalpartei dürste durch dieses Mittelihre schwankende Position im Volke kaum besonders stärkenund befestigen.Agram, 31.",41,negative
598,SentiAnno3,"Die kroatffcheRegierung antwortete auf alle diese Zuschriften und Urgenzennur ein einziges Mal in ernstlicher Weise, aber auch in diesemeinen Antwortschreiben ist keine Spur einer principiellen Darstellung der Angelegenheit zu finden.",30,negative
599,SentiAnno3,"Nicht mit einem Wortewird das Eigenthumsrecht Kroatiens auf die Cameral-Acten behauptet oder zu beweisen versucht, noch wird auseinandergesetzt,warum dieselben im Archive zu verbleiben hätten, sei es ausrechtlichen Gründen oder im Jntereffe der Wissenschaft.",33,negative
600,SentiAnno3,"An demPatriotismus der übergroßen Mehrzahl der Serben inUngarn und Kroatien ist nicht zu zweiseln und eben deshalb sollten namentlich unsere Officiösen mit den üblichenNergeleien, Verdächtigungen und Drohungen endlich aufhören.",29,positive
601,SentiAnno3,"Das heutige Amtsblatt veröffentlicht eine Verordnung der Landesregierung, mit welcher dieZahl und die territoriale Begrenzung der Verwaltungsbezirke in Kroatien-Slavonien und die Amtssitze derselbenverlautbart werden.",24,neutral
602,SentiAnno3,"ausgesprochen haben, das hat sicherfüllt: die Kroaten sind unverändert auf ihrem Stand-puncte geblieben und lehnen die von ungarischer Seite vorgelegte Interpretation des Ausgleichsgesetzes vom Jahre1868 in höflicher doch entschiedener Weise ab.",31,positive
603,SentiAnno3,"In der vorAllem vielumstrittenen Frage hinsichtlich der „Parität"" suchtdas kroatische Renuntium nicht ohne Geschick den Nachweiszu führen, daß „zwischen Ungarn und Kroatien-Slavonien-Dalmatien zwar nicht dasselbe staatsrechtliche Verhältnißbesteht wie zwischen den Ländern der St. Stephans-Kroneund den im Reichsrathe vertretenen Ländern"", allein es„könne doch nicht geleugnet werden, daß darin einezwischen Ungarn und Kroatien-Slavoien-Dalmatien bestehende eigenthümliche Parität enthalten ist,namentlich aber und insbesondere bezüglich der autonomenAngelegenheiten.""",62,neutral
604,SentiAnno3,"Was aber jene im ungarischen Renuntium enthaltene Behauptung anbelangt, daß „Kroatien-Slavonien in Angelegenheiten, welche außerhalb des autonomen Wirkungskreises liegen, unter die gleiche Rücksichtinit was immer für einem anderen Theil der heil.",31,neutral
606,SentiAnno3,"Wenn deshalb die Kroaten verlangen, daßdie gemeinsame Regierung stets im Einvernehmen mit ihrerLandesregierung vorgehen möge, so ist das ebenso richtig,wie im Gesetze begründet.",23,positive
607,SentiAnno3,"Sehr entschieden tritt daskroatische Renuntium für die im Gesetze vorgesehene, aberin der Praxis unausgeführt gebliebene Bestimmung hinsichtlich der Errichtung von kroatisch-slavonischen Sectionenbei der gemeinsamen Regierung in Budapest ein.",28,neutral
608,SentiAnno3,"Auf ungarischer Seite hat man mit der Durchführung dieser Bestimmung bis jetzt gezaudert, weil die betreffenden Beamten-vostcn den Kroaten zugute kommen würden.",22,neutral
609,SentiAnno3,"Daraufbemerken jetzt die Kroaten, daß sie die Verfügungen desAusgleichsgesetzcs über die amtliche Sprache „als die wichtigsten und nothwendigsten betrachten, gerade so als ob dasNationalleben auf derselben basiren würde"".",28,neutral
610,SentiAnno3,"Wenndie Kroaten des Ferneren wünschen, daß bei Schließunginiernationaler Verträge die gemeinsame (ungarische) Regierung sich vorerst mit der kroatischen Landesregierungins Einvernehmen setzen, respcctive die betreffenden Vertragspuncte mit den in Kroatien und Slavonien bestehenden gesetzlichen Vorschriften und Einrichtungen in Uebereinstimmung bringen möge: so ist das sicherlich kein unberechtigtes und kein überflüssiges Begehren, weil ja zahlreicheBeispiele vorliegen, denen zufolge die geschlossenen internationalen Verträge mit giltigen Gesetzesbestimmungen imkroatisch-slavonischen Königreiche unvereinbarlich sind.",67,neutral
612,SentiAnno3,"(Nach der Landiags-s e s s i o n.) Die heurige Landtagsscssion ist dadurch merkwürdig, daß in einer.die Bevölkerung stark bewegenden Frageeine neue Gruppirung der Fractioncn platzgegriffen hat.Die Serben nämlich, welche mit den Italienern die auto-nomistische, einer Vereinigung mit Kroatien widerstrebendePartei bilden, haben sich nämlich in der Frage, ob diekroatische Sprache in die Aemter cinzufiihren sei oder nicht,von ihren Parteigenossen getrennt und mit den Kroatenvereinigt, welche diese Einführung anstreben.",69,neutral
613,SentiAnno3,"Uebrigens ■ ganz zufrieden sind die'Serben mit der autonomen Landesverwal-tuug, welche hauptsächlich in kroatischen Händen liegt, dochnicht, und cs gab Vorwürfe, daß ihrer Schrift — derCyrica — nicht die gehörige Pflege und Rücksicht zugewendetwerde.",34,neutral
614,SentiAnno3,"Die Leitung derselbenwurde, da das Gemeinde-Oberhaupt die festgesetzten Termine nicht einhielt und dafür keineswegs genügendeGründe vorbringen konnte, einem Regierungs-Commissärübergeben, und als sie dann vorgenommen wurde, siegtedie kroatische Partei in glänzender Weise.",31,positive
615,SentiAnno3,"Dieser Wahlsiegwurde als ein großer Erfolg der kroatischen Partei gefeiert, und die Italiener können sie heute noch nichtverwinden.",18,mixed
616,SentiAnno3,"(Der Verwaltmigsgerichtshof hat inzwischen allerdings entschieden, daß die Streichmigvon 13Jtalienern aus denWählerlisten und die Aufnahme mehrerer Kroaten in dieselbe unrechtmäßig erfolgt sei.)",22,neutral
617,SentiAnno3,Aus Anregung der Abgeordneten serbischer Nationalität aus Kroatien- und Slavonienhat heute Mittags eine Conferenz der serbischen Abgeordnetendes Reichstages stattgefunden.,19,neutral
618,SentiAnno3,"Freilich wird sie dort einen sehr schwierigen Standpunct haben; denn die Majorität ist in ihrer Erbitterung und im Bewußtsein ihrer Ueberlegenheit rücksichtslos gegen die Minorität, wie es nur noch im kroatischen Landtage vorzukommen pflegt.",34,negative
619,SentiAnno3,"Die Union würde, wenn sie zur That würde, nicht eine Stärkung Kroatiens, sondern der Barcic'schen Oppositionspartei bilden, und ihre nächste Consequenz wäre ein heftiger Ansturm gegen die bestehende ungarisch=kroatische Union.",30,negative
620,SentiAnno3,Anläßlich der Stellungnahme der gemäßigt kroatischen Partei gegenüber der extremen Haltung des Abg.,13,neutral
621,SentiAnno3,"Er könne daher nichtversprechen, daß er die Vorlage noch in dieser Session unterbreiten werde, er werde aber bemüht sein, die Verhandlungen möglichst bald einem befriedigenden Abschlüsse zuzuführen. Kroatien.",28,positive
622,SentiAnno3,[Ueber eine dieser Tage in Fiume stattgehabte Conferenz der kroatischen Rechtspartei will die gouvernementale „Agramer Ztg.“,16,neutral
623,SentiAnno3,"Bezüglich der Nationalitätsfrage wurde mittelst Resolution erklärt, daß in Kroatien nur eine Nationalität: die kroatische, existire. Nachmittags wurde das Grab des im Duelle gefallenen Dr.",25,neutral
624,SentiAnno3,"bekränzt und ein Ausstug nach Abbazia veranstaltet, wo die kroatische Citavnica besucht wurde.",13,neutral
625,SentiAnno3,"Die sechs Herren wehren sich dagegen, als ob ihnen die Schuld an dem Zerfalle der kroatischen Partei Dalmatiens zugeschrieben werden könnte.",21,negative
626,SentiAnno3,"Als die Magyaren sich erhoben, um die Monarchie zu vernichten, haben die Kroaten dieselbe gerettet, und weil die Magyaren Rebellen waren, dominiren sie heute.",24,negative
627,SentiAnno3,"Die Kroaten seien immer mit gleichem Opfermuthe bereit, für ihren legitimen König durch Feuer und Wasser zu gehen.",18,positive
628,SentiAnno3,"Die Wählerschaften einer größeren Anzahl dieser Wahlbezirke gehören drei Parteien an: ein Theil der kroatischen Nationalpartei, ein anderer der kroatischen Rechtspartei und ein dritter entweder der italienischen oder der serbischen Partei.",31,neutral
629,SentiAnno3,"Angesichts der Thatsache, daß bei den bereits erfolgten Wahlmännerwahlen, wie in den Canali und aus den Inseln Arbe, Pago, Lesina, die Autonomisten für die Candidaten der kroatischen Nationalpartei stimmten und zudem Siege derselben beitrugen, ist ohne Zweifel der Schlußzulässig, daß sie dies spontan thaten, weil die Wahl von Angehörigen der kroatischen Rechtspartei, welche es zu ihrer ersten Aufgabe gemacht, die Vereinigung Dalmatiens mit Kroatien mit Dampf zu betreiben, und welche zu diesem Zwecke auch Adreßanträge gestellt hat, noch viel weniger liebsein kann, als die Wahl von Kroaten, welche sich zur Nationalpartei bekennen.",92,negative
630,SentiAnno3,"List“ behauptet, daß zwischen der Nationalpartei und den Autonomisten einförmliches Compromiß geschlossen worden sei und daß jene das Versprechen gegeben habe, die Kroatisirung des italienischen Gymnasiums in Zara und die allgemeine Einführung der kroatischen Sprache als der inneren Amtssprache nicht allzu drängend urgiren zu wollen. Sommern.",46,neutral
631,SentiAnno3,"Wer Geld für gute Zwecke übrig hat, findet dafür im Peterspfennig, in den Vincenz=, in den Kirchenbau= und ähnlichen Vereinen vielrichtigere Verwendung. Kroatien.",23,neutral
632,SentiAnno3,"Diese Uniform kam von da an thatsächlich in Gebrauch, während die rothen Fracks der böhmischen Stände mit Silber gestickt waren. Doch mit dem mährischen Landeswappen blieb es die nächste Aufgabe der kroatischen Abgeordneten, mit allen Kräften und mit allem ihren Einflüsse dahin zuwirken, daß in Dalmatien die kroatische Sprache bei allen Aemtern als Dienstsprache eingeführt werde; denn bisher finde sie blos im äußeren Verkehre mit den Parteien Anwendung.",68,neutral
633,SentiAnno3,"List“ den gegenwärtigen Zeitpunct als besonders günstig und versichert auch, daß die kroatischen Abgeordneten sich anschicken, denselben auszunützen. Der griechisch=türkische Krieg.",21,neutral
634,SentiAnno3,"Dassei nun geschehen, und es werde dadurch eben bewiesen, daß sich in der kroatischen Wählerschaft kein Gesinnungswechsel vollzogen habe.",19,neutral
635,SentiAnno3,"Und wenn es richtig ist, was der Banus noch sagte, nämlich, daß es heute schon in Kroatien unangenehm berühre, wenn die Ungarn kein Vertrauen zeigen, so könnte doch auch der Mangel der kirchenpolitischen ausgeraubt und darüber gespottet.",37,negative
636,SentiAnno4,"Durch die Einführung der ungarischen Sprache als alleinige Lehrsprache am Gymnasium zu Reusohl sei man zu der Ungeheuerlichkeit gekommen, daß von etwa 180 Schülern slavischer und deutscher Nationalität alle Gegenstände in ungarischer Sprache erlernt werden müssen, weil etwa ein halbes Dutzend Magyaren dort stndirt.",44,negative
637,SentiAnno4,Seit 15 Jahren fristete diese Schule in gemietheten Räumen ein unbeachtetes Dasein.,12,negative
638,SentiAnno4,"Die Schule als Pflanzstätte der Bildung künftiger Staatsbürger=Generationen ist auch für den Staat von der wichtigsten Bedeutung, nicht nur für die Gegenwart, sondern auch für die Zukunft. Die Bildung ist in ihren Ausgangspuncten local, national, in ihrer höchsten Höhe kosmopolitisch, weltbürgerlich.",41,neutral
639,SentiAnno4,"Sodann forderten ein Redner die Versammelten auf, sich dem böhmisch=slavischen Arbeiterverein anzuschließen, dessen Tendenz es sei, Arbeiterwerkstätten mit vollständig nationalem Charakter in's Leben zu rüsten, wo ausschließlich böhmische Arbeiter beschäftigt werden sollen; ferner strebender Verein die Errichtung böhmischer Schulen an.",40,neutral
640,SentiAnno4,"— Daß die Lehrer des Landes aufgefordert sind, Spionendienste zu thun, wissen Die.",13,neutral
641,SentiAnno4,"ob die Regierung und ihre Partei noch immer behaupten wird, daß der Schulunterricht einen erfreulichen Aufschwung nehme??",17,negative
642,SentiAnno4,"— Wenn man bedenkt, daß die Schulbildung der wichtigste Hebel des Staatswohles ist, daß ohne die ausgiebigste Bildung kein Staat in seiner Macht und Stärke fortschreiten kann, daß ferners die Regierungen in den europäischen Continentalstaaten die Erziehung und den Unterricht auf ihre Schultern und unter ihre mehr als zärtliche Beaussichtigung genommen haben, so muß allen unseren Ministerien seit Bach der Vorwurf gemacht werden, sie haben sich durch die Vernachlässigung der nichtdeutschen Nationalitäten in Bezug auf Schulbildung eines schweren Vergehens schuldig gemacht und die Verantwortung für die mangelhafte Bildung dieser Völker auf sich geladen.",93,negative
643,SentiAnno4,"— Es ist löblich, daß auch feindliche Staatsmänner die Bedeutung der Schulen und der Volksbildung für den Staat immer mehr beherzigen, dabei aber sollen sie auch den gerechten Forderungen nationaler und localer Eigenthümlichkeiten bei Zeiten Rechnung zu tragen suchen.",39,mixed
644,SentiAnno4,"Weil er sich den Anstrich eines Nationalen zu geben mußte, wurde er gleichzeitig vom Landesschulrathe zum Bezirksschul=Inspector in Vor- schlag gebracht, kannte sich aber im Volksschulwesen so wenig aus, daß er bei seinen Visitationen, wie er selbst bekannte, einen stillen Zuschauer machte, um sich in den Augen der Schullehrer nicht zu blamiren.",52,neutral
645,SentiAnno4,"in der Praxis in der Weise ausgelegt, daß aus Landesnutteln für deutsche Schulen unverhältnismäßig mehr genußt wird, als für böhmische, und daß einer Nation von fünf Millionen Seelen bisher keine eigene Universität gewährt wird, daß die deutsche Sprache als ausschließliche Amtsspräche erklärt wird und in in böhmischen Gegenden Beamte bestellt wurden, welche der böhmischen Sprache nicht kundig sind. Das Recht freier Wahl der Volksvertreter, illustrirt durch die Pression und durch Zusagen der Repräsentanten der Regierung und durch die Untersuchung von Mißvermögensmächten, welche in der Befürchtung eines Wechsels jenes Systems, welches ihnen dermal die neuerlich in so vielen schreienden Erscheinungen zu Tage getretene Ausbeutung der schweren Steuerleistung der Staatsbürger sichert, gegen den offenbaren Willen der Landesmajorität und die natürlichen Verhältnisse des Landesagitiren. Doch wenn bei aller dieser offenbaren Verletzung allendessen, was die gebildete Welt als die unentbehrlichen Garantien der Freiheit und des Verfassungslebens anerkennt, wenigstens die Justiz unberührt geblieben Sie; aber es ist bereits unmöglich, nicht zu sehen und nicht zu hören, wie in den weitesten Kreisen — und zwar keineswegs in blos slavischböhmischen, Beschwerden laut werden, das jetzt der Gerechtigkeit, die doch selbst in der Periode des Absolutismus sich unbestrittener Makellosigkeit und der gleichen Achtung aller Ständeerfreute, von Vielen vermuthet wird, sich zur Verletzung nationalen und politischen Parteitreibens mißbrauchen zu lassen. In welcher Weise die Justiz bei uns die verfassungsmäßige Unverletzbarkeit der Abgeordneten respectirt und inwelcher Weise sie selbst der gegenwärtige Landtag zu wahren versteht und gewillt ist, dies überlassen wir dem Urtheile der Oeffentlichkeit. Wenn man berechtigt ist, den Baum nach seinen Früchten zu schätzen, so möge jeder Unbefangen urtheilen, es hat, so Gott will, die öffentliche Meinung des gebildeten Europa darüber bereits abgeurtheilt, ob wir weise berechtigt und wahrhaft freisinnig vorgehen, wenn wir daselbensowohl natürlich als historisch begründete Recht der Selbstbestimmung für unser Vaterland und unsere Ration durch unseren passiven Widerstand gegen die obgedachten verfassungsmäßigen Wohlthaten vertheidigen und gegen jene Freiheit, welche man uns mit Zwang auflegen will. Es wäre maßig, zu erwarten, daß in dieser Sache über unser Verhalten unsere politischen Gegner ein gerechtes Urtheilfällen, zumal Jene, denen aus dem gegenwärtigen Stande der Dinge ein Vortheil zugeht.",350,negative
646,SentiAnno4,"ES wäre ungerecht, daß Kinderlose für fremder Leute Kinder die Schule mitbezahlen. es wäre ungerecht, daß viele Gemeinden gar keine oder schlechtere Lehrer hätten, als andere.",26,negative
